lexeme_id,lemma,pos,cefr_level,review_priority,alignment_decision,import_eligibility,review_status,reviewer,reviewed_at,notes
12209,spectre,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12245,spéculation,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12617,sérieux,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12739,temps,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12819,théorie,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12878,toit,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12939,toucher,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12940,toucher,VER,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
12956,tournesol,NOM,C1,P3,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13067,travail,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13074,traverser,VER,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13419,veille,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13511,vice-président,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13558,ville,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13566,violence,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13580,virilité,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13719,végétation,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13782,âne,NOM,A1,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13795,ébranler,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13858,écosystème,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
13924,élan,NOM,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
14007,émouvoir,VER,B1,P1,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
14099,équipe,NOM,A2,P0,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
14149,étinceler,VER,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
14153,étoffe,NOM,B2,P2,dbnary_source_uncovered_same_snapshot,blocked,pending,,,
